Nr;LoadCell;VP0
0;2903;3552
1;2932;3568
2;2877;3552
3;2940;3552
4;2881;3568
5;2952;3552
6;2879;3568
7;2906;3568
8;2875;3568
9;2868;3568
10;2929;3568
11;2876;3568
12;2927;3568
13;2888;3568
14;2955;3568
15;2914;3568
16;2927;3568
17;2904;3568
18;2895;3568
19;2928;3568
20;2879;3568
21;2946;3568
22;2891;3568
23;2930;3568
24;2909;3568
25;2926;3568
26;2921;3568
27;2870;3568
28;2921;3568
29;2876;3568
30;2945;3568
31;2882;3568
32;2921;3568
33;2880;3568
34;2905;3568
35;2908;3568
36;2921;3568
37;2924;3568
38;2861;3568
39;2942;3568
40;2887;3568
41;2920;3568
42;2873;3568
43;2928;3568
44;2921;3568
45;2896;3568
46;2939;3568
47;2876;3568
48;2945;3568
49;2898;3568
50;2951;3568
