Nr;LoadCell;VP1;VP2;VP3;VP4;VP5;VP6;VP7;VP8
0;3113;3568;5968;3328;4016;2720;2832;3424;2960
1;3072;3568;5952;3328;4016;2720;2832;3424;2960
2;3137;3568;5952;3328;4016;2720;2832;3424;2960
3;3084;3568;5952;3328;4016;2720;2816;3424;2960
4;3131;3568;5952;3328;4016;2720;2816;3424;2960
5;3070;3568;5952;3328;4016;2720;2832;3424;2960
6;3117;3568;5968;3328;4016;2720;2832;3424;2960
7;3082;3568;5952;3328;4016;2720;2832;3424;2960
8;3079;3568;5952;3328;4016;2720;2816;3424;2960
9;3094;3568;5952;3328;4016;2720;2832;3424;2960
10;3061;3568;5968;3344;4016;2720;2816;3424;2960
11;3104;3568;5952;3328;4016;2720;2816;3424;2960
12;3057;3568;5968;3344;4016;2720;2832;3424;2960
13;3126;3568;5952;3328;4032;2720;2832;3424;2960
14;3081;3568;5952;3328;4016;2720;2816;3424;2960
15;3128;3568;5952;3344;4016;2720;2816;3424;2960
16;3053;3568;5952;3328;4016;2720;2816;3424;2960
17;3112;3568;5952;3328;4016;2720;2816;3424;2960
18;3087;3568;5952;3328;4016;2720;2816;3424;2960
19;3116;3568;5952;3328;4016;2720;2816;3424;2960
20;3103;3568;5952;3344;4016;2720;2816;3424;2960
21;3096;3568;5952;3328;4016;2720;2832;3424;2960
22;3139;3568;5952;3328;4016;2720;2816;3424;2960
23;3058;3568;5952;3328;4016;2720;2832;3424;2960
24;3139;3568;5968;3328;4016;2720;2832;3424;2960
25;3066;3568;5952;3328;4016;2720;2816;3424;2960
26;3143;3568;5952;3328;4016;2720;2832;3424;2960
27;3066;3568;5968;3344;4016;2720;2832;3424;2960
28;3129;3568;5968;3328;4016;2720;2832;3424;2960
29;3072;3568;5952;3344;4016;2720;2832;3424;2960
30;3073;3568;5952;3344;4016;2720;2816;3424;2960
31;3084;3568;5952;3328;4016;2720;2816;3408;2960
32;3081;3568;5952;3328;4016;2720;2816;3424;2960
33;3076;3568;5952;3344;4016;2720;2832;3424;2960
34;3071;3568;5952;3328;4016;2720;2816;3424;2960
35;3126;3568;5952;3328;4016;2720;2816;3424;2960
36;3065;3568;5952;3344;4032;2720;2832;3424;2960
37;3130;3568;5952;3328;4016;2720;2816;3424;2960
38;3057;3568;5952;3328;4016;2720;2832;3424;2960
39;3120;3568;5952;3328;4016;2720;2816;3424;2960
40;3113;3568;5952;3344;4016;2720;2816;3424;2960
41;3102;3568;5952;3328;4016;2720;2816;3424;2960
42;3099;3568;5952;3344;4016;2720;2816;3424;2960
43;3078;3568;5952;3328;4016;2720;2816;3424;2944
44;3117;3568;5952;3328;4016;2720;2816;3424;2960
45;3058;3568;5952;3328;4016;2720;2816;3424;2960
46;3109;3568;5952;3328;4016;2720;2816;3424;2960
47;3056;3568;5952;3344;4016;2720;2832;3424;2960
48;3125;3568;5968;3344;4016;2720;2832;3424;2960
49;3072;3568;5952;3328;4016;2720;2816;3424;2960
50;3139;3568;5952;3344;4016;2720;2832;3408;2960
